point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated
midrange,1000000,2048,paper,Calgary-Edmonton,4,256,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.6070716686493838,10.519016649742053,9.461806733002847
midrange,1000000,2048,paper,Calgary-Kamloops,8,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,8.868793839702677,7.428007985472082
midrange,1000000,2048,paper,Calgary-Kelowna,8,256,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,7.723459485551354,6.2825093966243495
midrange,1000000,2048,paper,Calgary-Saskatoon,8,512,80.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.8114653145400904,8.287456423097389,6.846102306203568
midrange,1000000,2048,paper,Calgary-Vancouver,13,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.2141433372987676,5.3073053061464,3.7476295463782203
midrange,1000000,2048,paper,Edmonton-Kamloops,12,512,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,6.055632684948071,4.423554811942751
midrange,1000000,2048,paper,Edmonton-Kelowna,12,256,76.2,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,4.910298330796748,3.322185270274344
midrange,1000000,2048,paper,Edmonton-Saskatoon,7,1024,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,2.2924504458939827,10.45941542061491,9.086460599103885
midrange,1000000,2048,paper,Kamloops-Kelowna,3,512,63.3,KAM-KEL:1;KAM-KEL:2,3.1088752419378607,13.522700883485758,12.652594418883858
midrange,1000000,2048,paper,Kamloops-Vancouver,5,512,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,11.215321317818393,10.026332506477393
midrange,1000000,2048,paper,Kelowna-Vancouver,5,1024,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,1.9067772279427784,11.51771641789205,10.32789068099726
midrange,1000000,2048,paper,Montreal-Ottawa,3,1024,66.7,OTT-MON:2;OTT-MON:1,4.752986965619489,14.1351426057489,13.263999673172833
midrange,1000000,2048,paper,Montreal-Toronto,7,1024,77.1,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1,2.043148610528134,10.29331901587054,8.920188265529719
midrange,1000000,2048,paper,Ottawa-Toronto,6,1024,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,11.207982180726917,9.916884203827056
midrange,1000000,2048,coordinated,Calgary-Edmonton,4,256,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.6070716686493838,10.519016649742053,9.461806733002847
midrange,1000000,2048,coordinated,Calgary-Kamloops,8,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,8.868793839702677,7.428007985472082
midrange,1000000,2048,coordinated,Calgary-Kelowna,8,256,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,7.723459485551354,6.2825093966243495
midrange,1000000,2048,coordinated,Calgary-Saskatoon,8,512,80.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.8114653145400904,8.287456423097389,6.846102306203568
midrange,1000000,2048,coordinated,Calgary-Vancouver,13,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.2141433372987676,5.3073053061464,3.7476295463782203
midrange,1000000,2048,coordinated,Edmonton-Kamloops,12,512,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,6.055632684948071,4.423554811942751
midrange,1000000,2048,coordinated,Edmonton-Kelowna,12,256,76.2,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,4.910298330796748,3.322185270274344
midrange,1000000,2048,coordinated,Edmonton-Saskatoon,7,1024,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,2.2924504458939827,10.45941542061491,9.086460599103885
midrange,1000000,2048,coordinated,Kamloops-Kelowna,3,512,63.3,KAM-KEL:1;KAM-KEL:2,3.1088752419378607,13.522700883485758,12.652594418883858
midrange,1000000,2048,coordinated,Kamloops-Vancouver,5,512,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,11.215321317818393,10.026332506477393
midrange,1000000,2048,coordinated,Kelowna-Vancouver,5,1024,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,1.9067772279427784,11.51771641789205,10.32789068099726
midrange,1000000,2048,coordinated,Montreal-Ottawa,3,1024,66.7,OTT-MON:2;OTT-MON:1,4.752986965619489,14.1351426057489,13.263999673172833
midrange,1000000,2048,coordinated,Montreal-Toronto,7,1024,77.1,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1,2.043148610528134,10.29331901587054,8.920188265529719
midrange,1000000,2048,coordinated,Ottawa-Toronto,6,1024,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,11.207982180726917,9.916884203827056
midrange,20,2048,paper,Calgary-Edmonton,2,256,150.0,CAL-EDM:2,0.0014395937924872937,3.088787368427614,2.5038001011409183
midrange,20,2048,paper,Calgary-Kamloops,4,256,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0014395937924872937,1.7989554006627269,0.7400372632354545
midrange,20,2048,paper,Calgary-Kelowna,4,512,152.5,KEL-CAL:6;KEL-CAL:4;KEL-CAL:2,0.0023538021812780636,2.5082866923600817,1.4493678147236835
midrange,20,2048,paper,Calgary-Saskatoon,6,512,151.4,CAL-EDM:2;Edmonton;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.0025660786361716404,1.3218245269032272,0.1921726736784843
midrange,20,2048,paper,Calgary-Vancouver,7,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;VAN-KAM:3;VAN-KAM:1,0.0028791875849745875,0.8224023739077666,-0.31251527194440293
midrange,20,2048,paper,Edmonton-Kamloops,6,256,150.0,CAL-EDM:2;Calgary;KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0014395937924872937,0.48792093164759165,-0.8048852659403367
midrange,20,2048,paper,Edmonton-Kelowna,6,512,152.5,CAL-EDM:2;Calgary;KEL-CAL:6;KEL-CAL:4;KEL-CAL:2,0.0023538021812780636,1.197252223344946,-0.012758949091473896
midrange,20,2048,paper,Edmonton-Saskatoon,4,1024,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.005132157272343281,3.6328589959183626,2.7583109666027834
midrange,20,2048,paper,Kamloops-Kelowna,2,512,126.7,KAM-KEL:1,0.018877158730340217,6.801695312585625,6.801597561434802
midrange,20,2048,paper,Kamloops-Vancouver,5,1024,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,3.0924305616916645,12.215321317818393,11.026332506477393
midrange,20,2048,paper,Kelowna-Vancouver,4,512,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.004669495497502257,3.496560300589073,2.824964543665537
midrange,20,2048,paper,Montreal-Ottawa,1,1024,200.0,,0.0001024,-0.08607851837979899,-0.08617884273616151
midrange,20,2048,paper,Montreal-Toronto,3,1024,225.0,Ottawa;TOR-OTT:3,1.3655259465352438e-05,-4.273875586751901,-4.862055229689796
midrange,20,2048,paper,Ottawa-Toronto,2,1024,225.0,TOR-OTT:3,1.3655259465352438e-05,-3.6312738806517117,-4.216265194763794
midrange,20,2048,coordinated,Calgary-Edmonton,2,256,150.0,CAL-EDM:2,0.0014395937924872937,3.088787368427614,2.5038001011409183
midrange,20,2048,coordinated,Calgary-Kamloops,4,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0028791875849745875,2.798955400662727,1.7400372632354546
midrange,20,2048,coordinated,Calgary-Kelowna,4,256,152.5,KEL-CAL:6;KEL-CAL:4;KEL-CAL:2,0.0011769010906390318,1.5082866923600817,0.4493678147236834
midrange,20,2048,coordinated,Calgary-Saskatoon,6,512,151.4,CAL-EDM:2;Edmonton;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.0025660786361716404,1.3218245269032272,0.1921726736784843
midrange,20,2048,coordinated,Calgary-Vancouver,7,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;VAN-KAM:3;VAN-KAM:1,0.0028791875849745875,0.8224023739077666,-0.31251527194440293
midrange,20,2048,coordinated,Edmonton-Kamloops,6,512,150.0,CAL-EDM:2;Calgary;KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0028791875849745875,1.4879209316475916,0.19511473405966326
midrange,20,2048,coordinated,Edmonton-Kelowna,6,256,152.5,CAL-EDM:2;Calgary;KEL-CAL:6;KEL-CAL:4;KEL-CAL:2,0.0011769010906390318,0.19725222334494616,-1.012758949091474
midrange,20,2048,coordinated,Edmonton-Saskatoon,4,1024,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.005132157272343281,3.6328589959183626,2.7583109666027834
midrange,20,2048,coordinated,Kamloops-Kelowna,2,512,126.7,KAM-KEL:1,0.018877158730340217,6.801695312585625,6.801597561434802
midrange,20,2048,coordinated,Kamloops-Vancouver,5,512,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,11.215321317818393,10.026332506477393
midrange,20,2048,coordinated,Kelowna-Vancouver,4,1024,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.009338990995004515,4.496560300589073,3.824964543665537
midrange,20,2048,coordinated,Montreal-Ottawa,1,1024,200.0,,0.0001024,-0.08607851837979899,-0.08617884273616151
midrange,20,2048,coordinated,Montreal-Toronto,3,1024,225.0,Ottawa;TOR-OTT:3,1.3655259465352438e-05,-4.273875586751901,-4.862055229689796
midrange,20,2048,coordinated,Ottawa-Toronto,2,1024,225.0,TOR-OTT:3,1.3655259465352438e-05,-3.6312738806517117,-4.216265194763794
midrange,10,2048,paper,Calgary-Edmonton,1,512,300.0,,1.6190861620062102e-08,-12.712826850485568,-12.712927246953873
midrange,10,2048,paper,Calgary-Kamloops,4,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0028791875849745875,2.798955400662727,1.7400372632354546
midrange,10,2048,paper,Calgary-Kelowna,6,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;KAM-KEL:1,0.0028791875849745875,1.4879209316475916,0.42855005691623654
midrange,10,2048,paper,Calgary-Vancouver,6,512,216.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;VAN-KAM:2,1.4101650961091425e-05,-6.185732967542214,-6.185914767035644
midrange,10,2048,paper,Edmonton-Kamloops,3,512,300.0,Calgary;KAM-CAL:4,1.6190861620062102e-08,-13.993936835831228,-14.868434460473292
midrange,10,2048,paper,Kamloops-Kelowna,2,512,126.7,KAM-KEL:1,0.018877158730340217,6.801695312585625,6.801597561434802
midrange,10,2048,paper,Kamloops-Vancouver,2,512,216.0,VAN-KAM:2,1.4101650961091425e-05,-3.584866530762192,-3.5849588391450555
midrange,10,2048,paper,Kelowna-Vancouver,4,1024,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.009338990995004515,4.496560300589073,3.824964543665537
midrange,10,2048,paper,Montreal-Ottawa,1,1024,200.0,,0.0001024,-0.08607851837979899,-0.08617884273616151
midrange,10,2048,paper,Montreal-Toronto,3,1024,225.0,Ottawa;TOR-OTT:3,1.3655259465352438e-05,-4.273875586751901,-4.862055229689796
midrange,10,2048,paper,Ottawa-Toronto,2,1024,225.0,TOR-OTT:3,1.3655259465352438e-05,-3.6312738806517117,-4.216265194763794
midrange,10,2048,coordinated,Calgary-Edmonton,1,512,300.0,,1.6190861620062102e-08,-12.712826850485568,-12.712927246953873
midrange,10,2048,coordinated,Calgary-Kamloops,4,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2,0.0028791875849745875,2.798955400662727,1.7400372632354546
midrange,10,2048,coordinated,Calgary-Kelowna,6,512,150.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;KAM-KEL:1,0.0028791875849745875,1.4879209316475916,0.42855005691623654
midrange,10,2048,coordinated,Calgary-Vancouver,6,512,216.0,KAM-CAL:6;KAM-CAL:4;KAM-CAL:2;Kamloops;VAN-KAM:2,1.4101650961091425e-05,-6.185732967542214,-6.185914767035644
midrange,10,2048,coordinated,Edmonton-Kamloops,3,512,300.0,Calgary;KAM-CAL:4,1.6190861620062102e-08,-13.993936835831228,-14.868434460473292
midrange,10,2048,coordinated,Kamloops-Kelowna,2,512,126.7,KAM-KEL:1,0.018877158730340217,6.801695312585625,6.801597561434802
midrange,10,2048,coordinated,Kamloops-Vancouver,2,512,216.0,VAN-KAM:2,1.4101650961091425e-05,-3.584866530762192,-3.5849588391450555
midrange,10,2048,coordinated,Kelowna-Vancouver,4,1024,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.009338990995004515,4.496560300589073,3.824964543665537
midrange,10,2048,coordinated,Montreal-Ottawa,1,1024,200.0,,0.0001024,-0.08607851837979899,-0.08617884273616151
midrange,10,2048,coordinated,Montreal-Toronto,3,1024,225.0,Ottawa;TOR-OTT:3,1.3655259465352438e-05,-4.273875586751901,-4.862055229689796
midrange,10,2048,coordinated,Ottawa-Toronto,2,1024,225.0,TOR-OTT:3,1.3655259465352438e-05,-3.6312738806517117,-4.216265194763794
projected,1000000,2048,paper,Calgary-Edmonton,4,512,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,1.2141433372987676,16.644401365782088,15.58719144904288
projected,1000000,2048,paper,Calgary-Kamloops,8,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,16.32509680285889,14.884310948628297
projected,1000000,2048,paper,Calgary-Kelowna,8,256,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,15.179762448707569,13.738812359780564
projected,1000000,2048,paper,Calgary-Saskatoon,8,512,80.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.8114653145400904,15.743759386253604,14.302405269359783
projected,1000000,2048,paper,Calgary-Vancouver,13,256,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.6070716686493838,14.925784532327716,13.366108772559537
projected,1000000,2048,paper,Edmonton-Kamloops,12,256,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.6070716686493838,15.005663361096413,13.373585488091095
projected,1000000,2048,paper,Edmonton-Kelowna,12,512,76.2,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,1.0977917456486765,15.860329006945092,14.272215946422687
projected,1000000,2048,paper,Edmonton-Saskatoon,7,512,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,1.1462252229469914,16.321886714509258,14.948931892998232
projected,1000000,2048,paper,Edmonton-Vancouver,17,256,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.6070716686493838,14.606185987090317,12.904257229819729
projected,1000000,2048,paper,Kamloops-Kelowna,3,512,63.3,KAM-KEL:1;KAM-KEL:2,3.1088752419378607,18.080661666145986,17.210555201544086
