point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
midrange,1000000,100,paper,Calgary-Edmonton,4,14,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.03319923187926317,6.326371571799657,5.269161655060451,-8.500539067087992
midrange,1000000,100,paper,Calgary-Kamloops,8,27,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.0640270900528647,4.6236813418661455,3.182895487635551,-23.486785674495366
midrange,1000000,100,paper,Calgary-Kelowna,8,27,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.05789136158694193,4.478346987714823,3.0373968987878177,-24.615647262214765
midrange,1000000,100,paper,Calgary-Saskatoon,8,27,80.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.04279211619645008,4.042343925260858,2.6009898083670366,-28.02033990725804
midrange,1000000,100,paper,Edmonton-Kamloops,12,27,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.0640270900528647,1.8105201871115395,0.17844231410622008,-42.337767210890306
midrange,1000000,100,paper,Edmonton-Saskatoon,7,52,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.11641349920555381,6.1598551387560025,4.786900317244977,-13.027614838023114
midrange,1000000,100,paper,Kamloops-Kelowna,3,14,63.3,KAM-KEL:1;KAM-KEL:2,0.08500830739673838,8.330055805543362,7.459949340941463,1.047599535460431
midrange,1000000,100,paper,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,1000000,100,paper,Kelowna-Vancouver,5,52,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,0.09682853110646922,7.218156136033142,6.028330399138352,-6.5955558203011915
midrange,1000000,100,paper,Montreal-Ottawa,3,52,66.7,OTT-MON:2;OTT-MON:1,0.24136261934786468,9.835582323889993,8.964439391313928,5.233347787440292
midrange,1000000,100,paper,Montreal-Toronto,7,27,77.1,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1,0.05387208250415978,5.04820651803401,3.675075767693187,-20.498691852829698
midrange,1000000,100,paper,Ottawa-Toronto,6,27,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,5.962869682890386,4.6717717059905235,-14.128687141477732
midrange,1000000,100,coordinated,Calgary-Edmonton,4,27,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.0640270900528647,7.273904151905522,6.216694235166315,-4.7987412247068075
midrange,1000000,100,coordinated,Calgary-Kamloops,8,14,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.03319923187926317,3.676148761760281,2.235362907529687,-30.89037900359802
